,y
2013-01-01,1.6243453636632417
2013-01-02,-0.9366254863827237
2013-01-03,0.08148313956553188
2013-01-04,-0.6635575866995296
2013-01-05,0.7380229039818533
2013-01-06,-2.954962335071106
2013-01-07,2.142851205743089
2013-01-08,-1.54100857400508
2013-01-09,0.3042623964369783
2013-01-10,-0.018096735692416654
2013-01-11,1.3793316706890548
2013-01-12,-2.331661680732742
2013-01-13,0.45343220635629256
2013-01-14,-0.49898074560151806
2013-01-15,0.4958129392157721
2013-01-16,-1.5385866233856953
2013-01-17,0.272464572212477
2013-01-18,-0.8332093239048626
2013-01-19,-0.16391041215947277
2013-01-20,0.25928647673116145
2013-01-21,-1.4678756213178192
2013-01-22,1.552356233411623
2013-01-23,0.517304789575743
2013-01-24,0.33540755457131693
2013-01-25,1.414251410613761
2013-01-26,-0.44267353117881636
2013-01-27,0.43486043276610253
2013-01-28,-0.8460529621283155
2013-01-29,-0.3227196181820965
2013-01-30,0.2663351847300741
2013-01-31,-1.1588290992384715
2013-02-01,-0.1796811603772645
2013-02-02,-0.6562135802445408
2013-02-03,-1.0342953850491856
2013-02-04,-0.8273828706297481
2013-02-05,-0.3381288752370333
2013-02-06,-1.5697129605521591
2013-02-07,0.25270454861743163
2013-02-08,1.2739265532801984
2013-02-09,0.1452153299099057
2013-02-10,0.22802097800100674
2013-02-11,-0.12870795230635146
2013-02-12,-0.4045699184691542
2013-02-13,1.5180469048439789
2013-02-14,-0.7781193427802225
2013-02-15,-0.36356830534148654
2013-02-16,0.8412933207224692
2013-02-17,1.8862156720073517
2013-02-18,-0.4337161233847055
2013-02-19,1.2805225055549858
2013-02-20,0.8428539247024849
2013-02-21,-0.19107529182796965
2013-02-22,-0.7968561998244624
2013-02-23,-0.1364629407697568
2013-02-24,-0.5874561022469003
2013-02-25,0.18084376172664796
2013-02-26,0.5541876889017687
2013-02-27,0.8766240858708821
2013-02-28,0.527048890510558
2013-03-01,1.359049347773295
2013-03-02,-0.5664193518834536
2013-03-03,1.7549662902901144
2013-03-04,0.3015791563535738
2013-03-05,-0.2511377349153269
2013-03-06,1.0778761062534292
2013-03-07,-0.10882424673396719
2013-03-08,1.2038713234860725
2013-03-09,1.4173748689868457
2013-03-10,2.198429345577833
2013-03-11,-1.0381775556326822
2013-03-12,-0.0531968714453539
