,city_pol,month,value
0,Cincinnati CO,2,-0.4707910917485493
1,Cincinnati CO,3,-0.37174429072594417
2,Cincinnati CO,4,-0.5557776119015706
3,Cincinnati CO,5,-0.4964322446845753
4,Cincinnati CO,6,-0.642432351643201
5,Cincinnati CO,7,-0.4794909465923698
6,Cincinnati CO,8,-0.4281588133729876
7,Cincinnati CO,9,-0.3761659695280092
8,Cincinnati CO,10,0.03078095194485559
9,Cincinnati CO,11,-0.3798422312140184
10,Cincinnati CO,12,-0.4479801321408675
11,Denver CO,1,3.0990194494241656
12,Denver CO,2,0.9673201123363842
13,Denver CO,3,0.6950492501402271
14,Denver CO,4,0.265079104560055
15,Denver CO,5,0.11116089550848805
16,Denver CO,6,-0.002762818277711278
17,Denver CO,7,0.008926677405910625
18,Denver CO,8,0.318952432493268
19,Denver CO,9,0.3187641958477995
20,Denver CO,10,0.7712850915551508
21,Denver CO,11,1.4508193816980544
22,Denver CO,12,1.3483991738065173
23,Des Moines CO,4,-0.7562651688492518
24,Des Moines CO,5,-0.6325216922592608
25,Des Moines CO,6,-0.5384466639532445
26,Des Moines CO,7,-0.658391054446058
27,Des Moines CO,8,-0.5441389401122253
28,Des Moines CO,9,-0.5152862153313909
29,Des Moines CO,10,-0.4951192940824294
30,Houston CO,1,0.04559611712648895
31,Houston CO,2,-0.12025314073259684
32,Houston CO,3,-0.10247929884843211
33,Houston CO,4,-0.5692484850795878
34,Houston CO,5,-0.5791311913216759
35,Houston CO,6,-0.6372855852827889
36,Houston CO,7,-0.5441516460857946
37,Houston CO,8,-0.40162874056059394
38,Houston CO,9,-0.2801367624870572
39,Houston CO,10,0.08564534581646228
40,Houston CO,11,-0.3881925970436663
41,Houston CO,12,0.3377318614284777
42,Indianapolis CO,1,-0.23778097606182996
43,Indianapolis CO,2,-0.409979497343275
44,Indianapolis CO,3,-0.13846261599627618
45,Indianapolis CO,4,-0.13405787849230277
46,Indianapolis CO,5,-0.20453367855587712
47,Indianapolis CO,6,-0.26788829159379624
48,Indianapolis CO,7,-0.40782925566234146
49,Indianapolis CO,8,-0.298557882967617
50,Indianapolis CO,9,-0.23384212425539283
51,Indianapolis CO,10,0.21222225451237445
52,Indianapolis CO,11,-0.2543060439853908
53,Indianapolis CO,12,-0.550700869573273
54,Long Beach CO,1,4.097708971959672
55,Long Beach CO,2,2.503472316847104
56,Long Beach CO,3,0.4307649999018237
57,Long Beach CO,4,-0.13405787849230297
58,Long Beach CO,5,-0.19436889970055407
59,Long Beach CO,6,-0.5069358495017428
60,Long Beach CO,7,-0.41545283980383396
61,Long Beach CO,8,-0.3620877508133872
62,Long Beach CO,9,0.25982730215147193
63,Long Beach CO,10,1.7775981982321487
64,Long Beach CO,11,2.764937051045877
65,Long Beach CO,12,3.5690463531601297
66,Vandenberg Air Force Base CO,1,-0.5755481067751744
67,Vandenberg Air Force Base CO,2,-0.8839402366893551
68,Vandenberg Air Force Base CO,3,-0.4332412028006493
69,Vandenberg Air Force Base CO,4,-0.717007945845089
70,Vandenberg Air Force Base CO,5,-0.590795275058159
71,Vandenberg Air Force Base CO,6,-0.8588066108768474
72,Vandenberg Air Force Base CO,7,-0.7127726213220377
73,Vandenberg Air Force Base CO,8,-0.772443637935694
74,Vandenberg Air Force Base CO,9,-0.4964322446845757
75,Vandenberg Air Force Base CO,10,-0.7747777723395093
76,Vandenberg Air Force Base CO,11,-0.6697417241678362
77,Vandenberg Air Force Base CO,12,-0.8195027993029311
78,Cincinnati NO2,2,0.0832512366332626
79,Cincinnati NO2,3,0.2869577041714
80,Cincinnati NO2,4,0.008641226308085889
81,Cincinnati NO2,5,-0.2951888917841736
82,Cincinnati NO2,6,-0.38923154738415877
83,Cincinnati NO2,7,-0.07241125271191785
84,Cincinnati NO2,8,-0.07241125271191785
85,Cincinnati NO2,9,0.12679738334396456
86,Cincinnati NO2,10,0.26828918693070813
87,Cincinnati NO2,11,0.04240012831833683
88,Cincinnati NO2,12,-0.02573995961018832
89,Denver NO2,1,2.1561429928956697
90,Denver NO2,2,1.4979944185664578
91,Denver NO2,3,1.4724085489553314
92,Denver NO2,4,1.0045288356104922
93,Denver NO2,5,0.6483909682496021
94,Denver NO2,6,0.6765852160823391
95,Denver NO2,7,0.9636914541464789
96,Denver NO2,8,1.1405756550020345
97,Denver NO2,9,1.0184610808845649
98,Denver NO2,10,1.4180364924918165
99,Denver NO2,11,1.79759510505766
100,Denver NO2,12,1.9940970445365953
101,Des Moines NO2,4,-0.8975742995295912
102,Des Moines NO2,5,-0.6072642716577388
103,Des Moines NO2,6,-0.6110757605943803
104,Des Moines NO2,7,-0.7384106052735989
