,time,data_values
0,2010-01-04,214.009998
1,2010-01-05,214.379993
2,2010-01-06,210.969995
3,2010-01-07,210.58
4,2010-01-08,211.980005
5,2010-01-11,210.110003
6,2010-01-12,207.720001
7,2010-01-13,210.650002
8,2010-01-14,209.43
9,2010-01-15,205.93
10,2010-01-19,215.039995
11,2010-01-20,211.73
12,2010-01-21,208.069996
13,2010-01-22,197.75
14,2010-01-25,203.070002
15,2010-01-26,205.940001
16,2010-01-27,207.880005
17,2010-01-28,199.289995
18,2010-01-29,192.060003
19,2010-02-01,194.729998
20,2010-02-02,195.859997
21,2010-02-03,199.229994
22,2010-02-04,192.050003
23,2010-02-05,195.460001
24,2010-02-08,194.119997
25,2010-02-09,196.190004
26,2010-02-10,195.120007
27,2010-02-11,198.669994
28,2010-02-12,200.379993
29,2010-02-16,203.399996
30,2010-02-17,202.550003
31,2010-02-18,202.929998
32,2010-02-19,201.669996
33,2010-02-22,200.419994
34,2010-02-23,197.059998
35,2010-02-24,200.66
36,2010-02-25,202.000004
37,2010-02-26,204.619997
38,2010-03-01,208.990004
39,2010-03-02,208.85
40,2010-03-03,209.329998
41,2010-03-04,210.710003
42,2010-03-05,218.950005
43,2010-03-08,219.079994
44,2010-03-09,223.020004
45,2010-03-10,224.839993
46,2010-03-11,225.500008
47,2010-03-12,226.600006
48,2010-03-15,223.839996
49,2010-03-16,224.449997
50,2010-03-17,224.120003
51,2010-03-18,224.650002
52,2010-03-19,222.25
53,2010-03-22,224.750004
54,2010-03-23,228.359993
55,2010-03-24,229.370003
56,2010-03-25,226.649994
57,2010-03-26,230.899998
58,2010-03-29,232.389992
59,2010-03-30,235.849991
60,2010-03-31,235.000011
61,2010-04-01,235.969994
62,2010-04-05,238.489998
63,2010-04-06,239.540009
64,2010-04-07,240.600006
65,2010-04-08,239.950005
66,2010-04-09,241.789993
67,2010-04-12,242.290005
68,2010-04-13,242.430008
69,2010-04-14,245.690002
70,2010-04-15,248.92001
71,2010-04-16,247.400002
72,2010-04-19,247.070007
73,2010-04-20,244.590004
74,2010-04-21,259.220005
75,2010-04-22,266.46999700000003
76,2010-04-23,270.82999
77,2010-04-26,269.5
