Date,AAPL,AMGN,AMZN,CPRT,EL,GS,ILMN,MA,PAA,RIO,TEF,UPS
2010-01-04,160386.7278,42475.58067012,63893.145750200005,2090.2259378,8892.66915432,68854.24234212001,4469.464999999998,28476.143688,19531.934838,101342.46662644,143829.33246450004,50575.70841972001
2010-01-05,160701.5202,42107.63558462,64270.11053842,2090.2259378,8859.692630880001,70071.56370546,4440.204999999999,28398.521801,19748.9563362,102916.0512412,143728.57636470004,50662.63813512001
2010-01-06,158130.7156,41791.20281109,63105.8142305,2081.03813148,8885.341038,69323.66692014,4713.785999999998,28343.077596,19741.72228626,106063.22047072,142217.23486770006,50288.840358900015
2010-01-07,157815.9232,41408.539922170006,62032.18034,2067.256422,8998.926840959999,70680.22438712999,4794.250999999999,28154.567299000002,19502.998638240002,106081.30765019999,139799.08847250004,49906.34961114001
2010-01-08,158865.2312,41776.48500767,63711.820915360004,2076.4442283199996,9035.56742256,69343.55779209,4849.844999999998,28165.65614,19568.1050877,107256.9743164,138892.28357430003,52305.60975618001
2010-01-11,157501.13079999998,41960.457550420004,62180.10323158,2067.256422,9119.84076024,68249.55983484,4947.865999999998,27699.924818,19531.934838,106316.44098344,135869.60058030003,54609.24721428001
2010-01-12,155664.8418,41231.92628113,60767.6782023,2053.4747125199997,9079.536120480001,66761.72261298,5730.570999999998,27688.835977,19206.4025907,103169.27175392,134862.03958230003,54244.14240960001
2010-01-13,157868.3886,41599.87136663,61607.498489980004,2035.0990998799998,9152.81728368,67258.99441172999,5926.612999999998,28409.610642,19314.913339799998,105773.82559903999,136272.62497950005,53957.27434878001
2010-01-14,156976.4768,41327.59200336,60767.6782023,2053.4747125199997,9141.825109200001,67044.17299466999,5710.088999999998,28886.430805,19358.31763944,107546.36918808,135768.84448050003,54070.282978800016
2010-01-15,154353.2068,41393.82211875,60667.47237252,2021.3173904,9116.17670208,65723.41909719,5708.625999999998,29119.296466,19850.23303536,105647.21534267999,132947.67368610005,53835.572747220016
2010-01-19,161173.7088,42350.47934105,60891.74256298,2039.6930030400001,9160.145400000001,66379.81787154,5572.566999999999,29363.250968,20248.10578206,108432.6409826,135315.44203140005,54113.74783650001
2010-01-20,158707.835,42092.917781200005,60018.520332039996,2025.91129356,8984.270608320001,66749.78808981,5514.046999999998,29208.007193999998,20168.531232719997,103603.36406144,130630.28339070003,53166.21393864001
2010-01-21,155927.16879999998,41673.46038373,60419.34365116,1998.3478745999998,9805.019636160001,63996.891411929995,5492.101999999998,28664.653985,19814.06278566,96296.14355152,128010.62479590003,51897.04009380002
2010-01-22,148214.755,41651.3836786,57942.82814374,1970.78445564,9739.06658928,61311.62369868,5339.949999999998,27921.701638,19633.21153716,93510.7179116,126146.63694960003,51071.207797500014
2010-01-25,152202.12540000002,40996.44142641,57408.39705158,1993.7539714399998,9739.06658928,61653.74669621999,5332.634999999998,27988.234684,19937.041634639998,94921.51791103999,126851.92964820004,51071.207797500014
2010-01-26,154353.2068,41636.66587518,57012.34543864,1989.16006828,9812.34775248,60022.69519632,5307.763999999998,27566.858726,20240.87173212,92461.66150176,127103.81989770004,50975.585110560016
2010-01-27,155822.23799999998,42490.29847354,58572.6933595,1989.16006828,9827.00398512,60269.342008499996,5418.951999999998,28420.699483,19792.36063584,92136.09227112,126851.92964820004,51584.09311836002
2010-01-28,149368.9938,42740.50113168,60137.81298654,1961.5966493199996,9717.08224032,60981.43522430999,5310.689999999998,27655.569454,19842.99898542,88988.9230416,122418.66125700004,51253.76019984001
2010-01-29,143965.0576,43034.85720008,59841.967203379994,1938.62713352,9621.816728160002,59163.409528079996,5367.746999999998,27711.013658999997,19199.168540759998,87722.820478,120252.40511130005,50219.296586580014
2010-02-01,145958.7428,43211.47084112,56721.27136166,1952.408843,9856.3164504,60917.784434069996,5448.211999999999,28099.123094,19387.2538392,93438.36919367999,121310.34415920003,50758.260822060016
2010-02-02,146798.1892,43586.774828329995,56363.39339816,1975.3783588,10259.362848,62433.468876659994,5534.528999999998,28010.412366,19408.95598902,95355.61021856,122620.17345660004,50958.19916748001
2010-02-03,149316.5284,43469.03240097,56831.020603799996,1961.5966493199996,10361.956476480002,62548.83593396999,5537.454999999998,27455.970316000003,19242.5728404,92823.40509136,121108.83195960004,51175.52345598001
2010-02-04,143965.0576,42335.76153763,55323.16145092,1906.4698114,10230.050382720001,59943.13170852,5357.505999999998,24628.315861,18895.33844328,87234.46663204,115164.22207140003,49802.033952660015
2010-02-05,146483.39680000002,42446.14506328,56015.05884702,1906.4698114,10149.4411032,61327.53639623999,5190.723999999998,24473.072087,18692.78504496,88301.61022136,113501.74642470003,49723.79720880002
2010-02-08,145486.5542,42284.24922566,55747.843300939996,1901.8759082399997,10200.737917440001,60110.21503289999,5218.520999999999,25105.136024,18757.89149442,84828.8717612,114408.55132290004,49219.60485948001
2010-02-09,147060.5162,42100.27668291,56320.448042539996,1906.4698114,10303.33154592,60663.18127311,5241.928999999998,24772.470794,18996.61514244,90562.50765636,117280.10016720004,49906.34961114001
2010-02-10,146221.0698,41827.99731964,56000.743728479996,1897.2820050799999,10270.35502248,61116.69315356999,5206.816999999999,25160.580229000003,18750.657444480003,90074.15381039999,117179.34406740004,49610.78857878001
