permit_id,issued,cost,lat,lng
2017032777,2017-05-24,226201.0,36.198241,-86.742235
2017061156,2017-10-23,15000.0,36.151554,-86.830222
2017074521,2017-11-20,13389.0,36.034239,-86.708892
2017035041,2017-05-30,40000.0,36.128659,-86.841815
2017000049,2017-01-09,268107.0,36.045042,-86.616211
2017009328,2017-02-08,8000.0,36.236001,-86.693209
2017047749,2017-08-10,1200000.0,36.166135,-86.806327
2017054780,2017-08-24,167736.0,36.164004,-86.870782
2017041533,2017-06-23,29965.0,36.130678,-86.797529
2017042517,2017-07-18,1.0,36.074847,-86.634217
2017080050,2017-12-15,3216.0,36.061806,-86.755568
2017033484,2017-05-19,10000.0,36.046438,-86.815953
2017076908,2017-12-06,298635.0,36.145846,-86.830042
2017077663,2017-12-06,1800.0,36.279821,-86.708614
2017062236,2017-09-25,5000.0,36.237022,-86.657801
2016054882,2017-01-17,4000.0,36.047609,-86.863776
2017030098,2017-05-18,319926.0,36.107209,-86.78924
2017049592,2017-08-11,484170.0,36.049477,-86.815057
2017048421,2017-07-25,52720.0,36.185814,-86.72849
2017055469,2017-08-24,3000.0,36.078589,-86.726047
2017044472,2017-07-10,268670.0,36.075684,-86.985775
2017067596,2017-12-19,208628.0,36.164639,-86.85575
2017015997,2017-03-31,18000.0,36.223019,-86.696783
2017045971,2017-07-18,234425.0,36.030351,-86.69743
2017032915,2017-05-22,148947.0,36.076807,-86.640986
2017044139,2017-07-21,286131.0,36.237363,-86.814544
2016029395,2017-08-18,2475513.0,36.132482,-86.899229
2017055819,2017-08-28,143516.0,36.219289,-86.622914
2017033194,2017-07-05,260559.0,36.153692,-86.827772
2017045121,2017-07-11,253913.0,36.264121,-86.650841
2017053374,2017-08-15,1200.0,36.304478,-86.689312
2017031066,2017-05-12,91922.0,36.224877,-86.72371
2017070863,2017-12-06,141675.0,36.285894,-86.70581
2017022817,2017-04-06,4913.0,36.175398,-86.741202
2017067745,2017-11-03,245014.0,36.197795,-86.781445
2017072193,2017-11-08,4212.0,36.072294,-86.943913
2017047630,2017-07-21,33795.0,36.102793,-86.874047
2017048940,2017-08-29,70151.0,36.102969,-86.913466
2017024881,2017-04-17,226539.0,36.148849,-86.786668
2017024081,2017-04-11,2000.0,36.251343,-86.691126
2017057867,2017-09-25,75000.0,36.161195,-86.82425
2017046312,2017-07-17,9639.0,36.262011,-86.645461
2017019285,2017-03-22,344822.0,36.169173,-86.739843
2017046011,2017-08-30,3140.0,36.143505,-86.881816
2017063405,2017-10-06,4000.0,36.106057,-86.814912
2017067956,2017-10-23,13000.0,36.065165,-86.625544
2017008681,2017-02-06,94626.0,36.07509,-86.717507
2017054096,2017-09-06,325000.0,36.069782,-86.941294
2017049367,2017-07-28,55000.0,36.116411,-86.745748
2017008585,2017-02-06,2000.0,36.114376,-86.744364
2017025006,2017-04-14,43258.0,36.039747,-86.625326
2017057717,2017-09-05,125000.0,36.118712,-86.736634
2017022046,2017-04-07,8165.0,36.037267,-86.706048
2017055988,2017-09-05,300212.0,36.14957,-86.589666
2017068700,2017-10-25,12000.0,36.121352,-86.896693
2017045903,2017-08-30,3140.0,36.143505,-86.881816
2017044463,2017-07-21,167736.0,36.033713,-86.668977
2016072279,2017-03-15,21404.0,36.130737,-86.868735
2017026797,2017-04-21,10000.0,36.184232,-86.790616
2016068562,2017-02-28,1196000.0,36.106159,-86.790932
2017027254,2017-04-24,6600.0,36.080619,-86.594975
2017024323,2017-04-12,1.0,36.241905,-86.780543
2017027889,2017-04-26,12000.0,36.091685,-86.792993
2017028109,2017-05-05,230000.0,36.126116,-86.769499
2017053068,2017-08-14,100.0,36.102664,-86.604948
2017000074,2017-01-24,394838.0,36.148829,-86.838327
2017053910,2017-09-06,5000.0,36.164683,-86.812353
2017058253,2017-09-21,146445.0,36.163114,-86.870811
2017053890,2017-09-05,0.0,36.185442,-86.768239
2017015470,2017-03-07,135180.0,36.068026,-86.765674
2017073905,2017-11-16,1500.0,36.098939,-86.874626
2017074606,2017-12-04,192326.0,36.095722,-86.63395
2017007973,2017-02-02,3200.0,36.046745,-86.713407
2017041775,2017-06-26,201644.0,36.184412,-86.796027
2017046415,2017-07-17,24500.0,36.28132,-86.721781
2017047082,2017-08-24,150000.0,36.149346,-86.67686
2017035862,2017-06-14,147909.0,36.033774,-86.66897
2016068891,2017-01-09,245690.0,36.138586,-86.764039
2017045046,2017-07-11,10.0,36.132482,-86.899229
2017043765,2017-07-05,3500.0,36.167534,-86.698115
2017032914,2017-05-30,10934.0,36.169496,-86.621019
2017004472,2017-01-20,5000.0,36.089079,-86.659227
2016063121,2017-04-11,257969.0,36.202518,-86.735531
2017009237,2017-02-17,222146.0,36.14439,-86.823972
2017015164,2017-04-04,33383.0,36.133412,-86.777577
2017059835,2017-09-21,48650.0,36.07773,-86.753787
2017066484,2017-10-16,3000.0,36.298835,-86.687686
2017003908,2017-02-10,329155.0,36.16779,-86.623118
2017062043,2017-09-25,15000.0,36.120449,-86.84146
2017050503,2017-08-02,168975.0,36.100634,-86.862686
2017068480,2017-11-14,400000.0,36.000682,-86.693029
2017069253,2017-10-27,226877.0,36.196702,-86.724634
2017038922,2017-06-15,167060.0,36.050547,-86.589886
2017003906,2017-02-10,304090.0,36.167302,-86.623198
2016072848,2017-01-03,40000.0,36.125903,-86.795482
2017071484,2017-12-27,307197.0,36.087527,-86.923376
2017017003,2017-03-14,202770.0,36.160827,-86.852522
2017028009,2017-05-09,146783.0,36.179327,-86.59572
2017046320,2017-07-17,19000.0,36.262502,-86.646212
2017073401,2017-11-21,269909.0,36.203273,-86.732888
2017060413,2017-09-18,20000.0,36.236858,-86.765097
2017033614,2017-05-22,30000.0,36.114251,-86.813896
2017047063,2017-07-27,7144.0,36.173791,-86.79833
2017046004,2017-08-04,216063.0,36.257608,-86.772315
2017018239,2017-03-17,120000.0,36.072688,-86.716736
2017073277,2017-11-14,52600.0,36.082963,-86.731107
2016072752,2017-01-03,249632.0,36.15758,-86.850436
2017014473,2017-03-15,4000.0,36.19907,-86.727929
2017013628,2017-10-27,2659028.0,36.152934,-86.801775
2016066369,2017-03-22,600000.0,36.162723,-86.775724
2017045529,2017-07-21,2302.0,36.236514,-86.814252
2017074635,2017-12-04,192326.0,36.095722,-86.63395
2017027154,2017-04-27,2000.0,36.164172,-86.772104
2017052330,2017-08-09,5000.0,36.052382,-86.76109
2017013451,2017-02-28,288835.0,36.114108,-86.794574
2017049184,2017-08-01,269684.0,36.131095,-86.816425
2017047073,2017-08-22,165708.0,36.203964,-86.741792
2017040934,2017-06-21,8000.0,36.094853,-86.749601
2017038776,2017-06-13,24000.0,36.182456,-86.816689
2017046309,2017-09-28,201161.0,36.08938,-86.650165
2017058723,2017-09-11,53556.0,36.115708,-86.882752
2017037006,2017-06-19,156020.0,36.162106,-86.859507
2017029471,2017-05-04,4000.0,36.194397,-86.779061
2017033605,2017-06-02,15000.0,36.125763,-86.809523
2017053699,2017-08-18,5900.0,36.14071,-86.88272
2017022950,2017-04-17,376138.0,36.103187,-86.808813
2017080538,2017-12-19,262587.0,36.066832,-86.936258
2017014178,2017-03-28,1050000.0,36.166264,-86.77925
2017046570,2017-08-09,136982.0,36.126061,-86.908526
2017034573,2017-08-04,1725.0,35.987832,-86.666046
2016055879,2017-01-05,2584599.0,36.177297,-86.783293
2017025676,2017-04-19,18043.0,36.126608,-86.806145
2017019727,2017-03-24,62484.0,36.127933,-86.712785
2017059939,2017-09-26,187337.0,36.159304,-86.83756
2016065255,2017-02-07,2000000.0,36.154305,-86.806915
2017000506,2017-01-04,225300.0,36.173345,-86.802212
2017044138,2017-07-21,1722.0,36.237374,-86.814452
2017039578,2017-06-15,1000.0,36.237484,-86.724328
2017071849,2017-11-14,150000.0,36.244441,-86.902511
2017041020,2017-06-30,145994.0,36.25777,-86.772297
2017013350,2017-03-14,15000.0,36.127639,-86.740408
2017029580,2017-06-05,74912.0,36.168017,-86.795725
2017073708,2017-11-15,2000.0,36.282129,-86.691973
2017036519,2017-06-13,70000.0,36.205873,-86.736928
2017029823,2017-05-05,26700.0,36.152791,-86.796415
2017020265,2017-03-27,51300.0,36.207689,-86.594337
2017000335,2017-01-05,44258.0,36.106489,-86.527791
2017061359,2017-09-20,2790.0,36.164608,-86.865073
2017020997,2017-05-09,10000.0,36.212059,-86.765051
2017011212,2017-02-16,43469.0,36.140824,-86.855932
2016069616,2017-08-28,154417.0,36.180645,-86.783864
2017007723,2017-02-16,44291.0,36.140627,-86.769504
2016064424,2017-01-11,10000.0,36.196708,-86.774026
2017073253,2017-11-14,2000.0,36.183956,-86.815757
2017008619,2017-02-06,115190.0,36.230634,-86.668497
2017044407,2017-07-07,268107.0,36.14589,-86.786119
2017006077,2017-02-01,272162.0,36.201575,-86.720297
2017045886,2017-08-07,411285.0,36.031492,-86.734218
2017018092,2017-03-16,5000.0,36.178075,-86.812698
2017055711,2017-09-13,6000.0,36.077431,-86.945077
2017032949,2017-05-18,45000.0,36.165273,-86.777299
2017018575,2017-03-20,45000.0,36.084261,-86.812544
2017004248,2017-02-03,573952.0,36.106699,-86.834667
2017020439,2017-03-29,10600.0,36.374872,-86.753754
