,Y
2013-01-01,-1664.274145115232
2013-01-02,-1797.4047809444362
2013-01-03,-2108.9429047447697
2013-01-04,-2611.186919251307
2013-01-05,-3025.7919121868645
2013-01-06,-2766.80645937988
2013-01-07,-2867.2668930920763
2013-01-08,-3411.732710467897
2013-01-09,-3704.7385674677266
2013-01-10,-3790.300230608408
2013-01-11,-4503.620587753622
2013-01-12,-4315.393866314637
2013-01-13,-5273.372259448645
2013-01-14,-5382.99382281322
2013-01-15,-5747.112349804144
2013-01-16,-6112.549400016615
2013-01-17,-6638.500418675566
2013-01-18,-6563.08247109756
2013-01-19,-6382.737060916731
2013-01-20,-6961.297253445776
2013-01-21,-6970.8644532397675
2013-01-22,-7262.193678868251
2013-01-23,-6999.687694753302
2013-01-24,-7267.859491268522
2013-01-25,-6980.638611857869
2013-01-26,-7279.232240612581
2013-01-27,-7171.874127648704
2013-01-28,-7617.845942449667
2013-01-29,-7089.129826884338
2013-01-30,-7779.377575052847
2013-01-31,-7411.671898780366
2013-02-01,-8516.55702271928
2013-02-02,-8558.817157795333
2013-02-03,-8915.355596980855
2013-02-04,-8828.106162797269
2013-02-05,-8621.672803178382
2013-02-06,-8390.78065792209
2013-02-07,-8545.12416502462
2013-02-08,-8154.560896348438
2013-02-09,-8189.857107769097
2013-02-10,-8266.088563504747
2013-02-11,-8347.124882750963
2013-02-12,-8514.263793501119
2013-02-13,-8151.586831914307
2013-02-14,-8305.673756239514
2013-02-15,-7907.70808934521
2013-02-16,-7817.955824264387
2013-02-17,-7146.4941774604085
2013-02-18,-6911.611095847512
2013-02-19,-6455.396579724413
2013-02-20,-6029.8523988819725
2013-02-21,-6082.834077337106
2013-02-22,-5903.25171202374
2013-02-23,-5473.168483392714
2013-02-24,-5449.173590162612
2013-02-25,-5426.5925485783455
2013-02-26,-5776.5879237932095
2013-02-27,-5297.301074506655
2013-02-28,-5650.826541157996
2013-03-01,-5275.97693467672
2013-03-02,-4926.658836104216
2013-03-03,-4835.7014467433555
2013-03-04,-4661.140031465626
2013-03-05,-4122.197879042497
2013-03-06,-3942.490618229235
2013-03-07,-3808.973230282406
2013-03-08,-3468.5217480927413
2013-03-09,-3626.327641832295
2013-03-10,-3252.3542543650815
2013-03-11,-3382.4648381253155
2013-03-12,-3248.6428420317197
2013-03-13,-3328.306929836836
2013-03-14,-3460.1397200062684
2013-03-15,-3613.441393665845
2013-03-16,-3614.818259769223
2013-03-17,-3837.3965208589466
2013-03-18,-3756.387071887239
2013-03-19,-3664.464910047526
2013-03-20,-3676.9112829432793
2013-03-21,-4159.400171328927
