,wait_times_hrs,nurse_count
2019-03-04 00:00:00,1.7472610495733265,1.0
2019-03-04 01:00:00,1.66463435594203,1.0
2019-03-04 02:00:00,1.6470465859073269,1.0
2019-03-04 03:00:00,1.619511653458451,1.0
2019-03-04 04:00:00,1.4804148174863567,1.0
2019-03-04 05:00:00,1.765025187586759,3.0
2019-03-04 06:00:00,1.9887080373062391,3.0
2019-03-04 07:00:00,2.1710900839698977,3.0
2019-03-04 08:00:00,1.566777886852151,7.0
2019-03-04 09:00:00,1.2767173722039278,9.0
2019-03-04 10:00:00,1.4403892192757315,9.0
2019-03-04 11:00:00,1.060018960482198,9.0
2019-03-04 12:00:00,1.0579986438704996,11.0
2019-03-04 13:00:00,1.1955198943151941,11.0
2019-03-04 14:00:00,0.8939939495639757,11.0
2019-03-04 15:00:00,1.044169082174422,11.0
2019-03-04 16:00:00,0.7669777285345547,11.0
2019-03-04 17:00:00,0.5366243344281322,11.0
2019-03-04 18:00:00,1.230117447008342,11.0
2019-03-04 19:00:00,1.3263157456049883,11.0
2019-03-04 20:00:00,1.652855891408773,9.0
2019-03-04 21:00:00,1.2692238505427826,9.0
2019-03-04 22:00:00,1.2574209447550466,7.0
2019-03-04 23:00:00,1.4016265155363,7.0
2019-03-05 00:00:00,1.5142316930998907,5.0
2019-03-05 01:00:00,2.127436071330744,5.0
2019-03-05 02:00:00,2.3503277709635793,3.0
2019-03-05 03:00:00,2.533426155161851,3.0
2019-03-05 04:00:00,2.191820310035871,3.0
2019-03-05 05:00:00,1.7225192193075032,5.0
2019-03-05 06:00:00,1.5470378931111204,5.0
2019-03-05 07:00:00,1.1855675540546822,5.0
2019-03-05 08:00:00,0.9575902778518238,7.0
2019-03-05 09:00:00,1.0951064332363845,7.0
2019-03-05 10:00:00,1.1584433575412858,7.0
2019-03-05 11:00:00,1.0287979334844957,7.0
2019-03-05 12:00:00,0.7104917570163609,7.0
2019-03-05 13:00:00,0.8222898301047371,9.0
2019-03-05 14:00:00,0.9988828125310928,9.0
2019-03-05 15:00:00,1.513861423260519,9.0
2019-03-05 16:00:00,1.254190253775842,9.0
2019-03-05 17:00:00,1.0731913187696265,9.0
2019-03-05 18:00:00,0.6910471301162238,9.0
2019-03-05 19:00:00,1.2582172355018,5.0
2019-03-05 20:00:00,1.7255731463980593,5.0
2019-03-05 21:00:00,1.7625437537416648,5.0
2019-03-05 22:00:00,1.5973223657985525,5.0
2019-03-05 23:00:00,1.5913652287927509,5.0
2019-03-06 00:00:00,2.3166022164586493,1.0
2019-03-06 01:00:00,2.412687066947711,1.0
2019-03-06 02:00:00,1.9471399820779824,1.0
2019-03-06 03:00:00,1.0567422257965948,3.0
2019-03-06 04:00:00,1.2445196559342329,3.0
2019-03-06 05:00:00,1.608200001141234,5.0
2019-03-06 06:00:00,1.5257591250207263,5.0
2019-03-06 07:00:00,1.2646835480067904,5.0
2019-03-06 08:00:00,0.7208923796378272,9.0
2019-03-06 09:00:00,0.7052512961078607,11.0
2019-03-06 10:00:00,0.5918230004457548,11.0
2019-03-06 11:00:00,0.2644199649277832,11.0
2019-03-06 12:00:00,0.6081206922257332,11.0
2019-03-06 13:00:00,0.6625754394174586,11.0
2019-03-06 14:00:00,0.6134591995213549,11.0
2019-03-06 15:00:00,0.9683986137774954,11.0
2019-03-06 16:00:00,1.2048304641237841,11.0
2019-03-06 17:00:00,1.2569263752227116,11.0
2019-03-06 18:00:00,1.0016798326827605,11.0
2019-03-06 19:00:00,0.5798220869097264,11.0
2019-03-06 20:00:00,1.169968922663578,9.0
2019-03-06 21:00:00,1.8095112330280496,9.0
2019-03-06 22:00:00,2.129909225387839,7.0
2019-03-06 23:00:00,1.19330521709445,7.0
2019-03-07 00:00:00,1.3832059984304546,5.0
2019-03-07 01:00:00,1.5427597140188019,5.0
2019-03-07 02:00:00,1.7528574235658785,5.0
2019-03-07 03:00:00,1.7427915387216144,5.0
2019-03-07 04:00:00,1.3933848582270851,5.0
2019-03-07 05:00:00,0.867394968896316,7.0
2019-03-07 06:00:00,1.6572868211254357,5.0
2019-03-07 07:00:00,1.7223371513813026,5.0
2019-03-07 08:00:00,1.481997713229153,7.0
2019-03-07 09:00:00,1.72539318159873,7.0
2019-03-07 10:00:00,1.4481565444299938,7.0
2019-03-07 11:00:00,0.9976675427976184,7.0
2019-03-07 12:00:00,1.2307692292664587,5.0
