price,pred
221900.0,154546.5122841655
538000.0,153942.96220330414
180000.0,40833.26164155656
604000.0,332994.1205260663
510000.0,366929.17459063715
1225000.0,518305.4136524647
257500.0,252546.7810840385
291850.0,199867.55920599235
229500.0,110373.87139066083
323000.0,126653.95837671062
662500.0,227355.435699951
468000.0,341195.2630557315
310000.0,135957.39585068356
400000.0,23871.15864382734
530000.0,210963.45532512866
650000.0,479697.0137258232
395000.0,72084.23352913249
485000.0,85094.10173153388
189000.0,100463.20965610746
230000.0,122320.34503227919
385000.0,244244.3690422586
2000000.0,1698863.588155579
285000.0,206469.76758528105
252700.0,154405.6411482252
329000.0,237683.8728656029
233000.0,75249.42692779053
937000.0,338995.97031810833
667000.0,152251.5749962634
438000.0,128646.75231830726
719000.0,453671.8330513767
580500.0,53466.917638116145
280000.0,121436.32835026791
687500.0,296218.1497891301
535000.0,264121.52724291384
322500.0,137330.26862040453
696000.0,217333.81118883583
550000.0,234493.21882954452
640000.0,571769.0643949662
240000.0,226598.4043689311
605000.0,303611.1889100236
625000.0,389970.5948700695
775000.0,89604.25618645418
861990.0,273496.91247429844
685000.0,284155.9551882378
309000.0,267689.5297859601
488000.0,122222.21831349526
210490.0,101673.88228465663
785000.0,773664.4317044035
450000.0,233768.3036669142
1350000.0,827407.6097800063
228000.0,27503.335845793812
345000.0,285087.57617485744
600000.0,361836.0770465564
585000.0,318864.783782882
920000.0,315342.7270723637
885000.0,269146.8982890579
292500.0,121978.99672472522
301000.0,205071.53050363177
951000.0,832559.4565472114
430000.0,219481.60511554478
650000.0,435053.958925477
289000.0,169335.66369047953
505000.0,315576.2685582779
549000.0,370404.2889923158
425000.0,357995.53598860936
317625.0,26424.808169090862
975000.0,744590.7704072547
287000.0,69932.24949208285
204000.0,39621.48395806926
1325000.0,758505.4686762018
1040000.0,99541.0172768826
325000.0,287731.21853942034
571000.0,358159.16304127447
360000.0,260429.8889483837
349000.0,5629.093136560873
832500.0,494864.53963799786
380000.0,211578.3731098297
480000.0,76300.62918946691
410000.0,62758.911201156974
720000.0,500781.26071505586
390000.0,124318.90628893177
360000.0,249109.3063914551
355000.0,196806.0536498091
356000.0,138466.4043878395
315000.0,291416.73422840564
940000.0,791169.7970979533
305000.0,109006.25783836875
461000.0,20095.664811357696
215000.0,65525.13578338595
335000.0,133392.20344252363
243500.0,171657.4752149067
1099880.0,1094774.887219575
153000.0,54454.97445477131
430000.0,327895.5599277365
700000.0,415223.8415935548
905000.0,625990.1278236603
247500.0,37404.04445614986
199000.0,79376.38225250515
314000.0,75628.75188521808
437500.0,150262.00614614217
850830.0,436584.827437137
555000.0,369976.62534105976
699950.0,74130.64411551684
1088000.0,142413.70632251984
290000.0,93374.37587580933
375000.0,248086.62624984139
460000.0,389392.8636245321
188500.0,104289.00949418047
680000.0,581027.6915166632
470000.0,180873.77129960773
597750.0,189359.96550251148
570000.0,201930.86508725677
272500.0,46619.798458389494
329950.0,273565.71375389874
480000.0,162562.00603887677
740500.0,409030.04075526114
518500.0,299978.9362144299
205425.0,107135.92872669699
171800.0,461.8094938682949
535000.0,528764.7993163087
660000.0,597525.4399366626
391500.0,81289.43965836104
395000.0,115533.3180530078
445000.0,231404.51811725512
770000.0,694471.7569487164
1450000.0,1426264.7831219987
445000.0,114606.21854856698
260000.0,146733.35116044324
822500.0,663731.7427028299
430000.0,169579.12319969316
212000.0,154987.4835990461
660500.0,106386.08403049641
784000.0,470947.67718153447
453246.0,392449.6022681215
675000.0,663877.0862124
199000.0,15793.792285225129
220000.0,94236.40043420883
452000.0,92453.37251498533
382500.0,172368.45762341606
519950.0,284809.66958837264
665000.0,62062.26239593081
527700.0,156653.43122115455
205000.0,190154.76923119024
420000.0,238981.56720068204
500000.0,228705.99876180597
921500.0,694374.2005204626
890000.0,660257.3151394132
430000.0,20888.984123035578
258000.0,182843.92802422846
511000.0,428853.3507283977
532170.0,88307.16383841465
560000.0,437358.8452799761
282950.0,81075.53570349938
2250000.0,689556.9449915038
350000.0,232841.51287238905
215000.0,23949.316895658885
650000.0,432167.0917221413
320000.0,284114.1736563913
247000.0,171988.88325414536
320000.0,140904.9205329309
255000.0,111744.6680161923
438000.0,335112.08971481625
900000.0,509077.80110329454
441000.0,37442.73596759156
420000.0,244721.85690178996
370000.0,301492.1700705616
269950.0,90991.07021168231
807100.0,748647.0573752968
653000.0,490218.20122408867
371500.0,213264.7110432118
284000.0,213466.8928171888
272000.0,21528.517320791816
313000.0,268988.78068803134
917500.0,753730.023861512
673000.0,612343.6269176706
425000.0,54668.25894148651
399950.0,32707.945833239384
385000.0,53289.99552091207
269950.0,107812.28279225089
330000.0,140021.26415672732
260000.0,146176.77847003547
470000.0,57454.46832727738
589000.0,118624.30631362744
163500.0,132703.85094443752
835000.0,390769.62433738576
1095000.0,884692.3393845531
269000.0,1997.6958285009057
560000.0,308891.92655014707
615000.0,573138.271067157
585188.0,340682.0925866534
305000.0,62859.19687080862
166950.0,119829.62502257213
799000.0,302809.69390943524
400000.0,267353.5789037839
230000.0,6743.536265567393
256883.0,163351.99201125442
423000.0,13619.726478741852
465000.0,346323.0046409212
440000.0,208081.72098492025
385000.0,46875.42685712567
210000.0,113953.54441558625
297000.0,19832.009637826395
470000.0,307081.4895359291
226500.0,225613.55314881247
274250.0,211007.21969253416
840000.0,481970.2554734126
677900.0,69576.44221899852
425000.0,297429.4817784887
180250.0,119175.50808585958
464000.0,22781.068608968213
320000.0,253535.776590269
625504.0,324459.30246837455
592500.0,252326.60881345207
465000.0,366507.03572468145
477000.0,196318.5194706153
280000.0,134687.35714144298
1505000.0,273351.40822410607
445838.0,143256.17551814715
1072000.0,906411.3723150737
467000.0,87284.05074877606
686000.0,286261.6677796941
279950.0,276880.21034531406
527000.0,124688.1007688087
325000.0,297970.5082051194
328000.0,301234.36944024765
390000.0,35605.573459248706
479950.0,222530.1253088034
264950.0,133062.21804377245
235000.0,73712.20326224995
516500.0,24450.87098329115
655000.0,158304.09239573558
500000.0,47764.82077768046
315000.0,75048.72029940972
213000.0,172059.50137980323
475000.0,425114.68674585555
1025000.0,44303.46438163797
416000.0,125609.88388529111
410000.0,402038.70142365794
800000.0,431603.8580429883
472000.0,295618.01872705214
225000.0,1247.7168915535215
210000.0,101830.98312293744
455000.0,449689.4832531863
