id,bathrooms,bedrooms,building_id,latitude,longitude,manager_id,price,interest_level
10,1.5,3,53a5b119ba8f7b61d4e010512e0dfc85,40.7145,-73.9425,5ba989232d0489da1b5f2c45f6688adc,3000.0,medium
10000,1.0,2,c5c8a357cba207596b04d1afd1e4f130,40.7947,-73.9667,7533621a882f71e25173b27e3139d83d,5465.0,low
100004,1.0,1,c3ba40552e2120b0acfc3cb5730bb2aa,40.7388,-74.0018,d9039c43983f6e564b1482b273bd7b01,2850.0,high
100007,1.0,1,28d9ad350afeaab8027513a3e52ac8d5,40.7539,-73.9677,1067e078446a7897d2da493d2f741316,3275.0,low
100013,1.0,4,,40.8241,-73.9493,98e13ad4b495b9613cef886d79a6291f,3350.0,low
100014,2.0,4,,40.7429,-74.0028,b209e2c4384a64cc307c26759ee0c651,7995.0,medium
100016,1.0,2,,40.8012,-73.96600000000001,01287194f20de51872e81f660def4784,3600.0,low
100020,2.0,1,,40.7427,-73.9957,e6472c7237327dd3903b3d6f6a94515a,5645.0,low
100026,1.0,1,,40.8234,-73.9457,c1a6598437b7db560cde66e5a297a53f,1725.0,medium
100027,2.0,4,,40.7278,-73.9808,23a01ea7717b38875f5b070282d1b9d2,5800.0,low
100030,1.0,0,,40.7769,-73.9467,e32475a6134d6d18279946b7b20a0f12,1950.0,low
10004,1.0,1,,40.8448,-73.9396,2dee0868ac01057760055b856e66e942,1675.0,low
100044,1.0,2,,40.7488,-73.977,537e06890f6a86dbb70c187db5be4d55,3000.0,high
100048,2.0,2,,40.7707,-73.9817,3813434aabfbad659a45f86a740cd23f,6895.0,low
10005,1.0,1,,40.7584,-73.9648,75f38d077366d7964c2f3bb80c3e7b1d,3050.0,low
100051,1.0,0,,40.7439,-73.9743,dbbb6b990661b1e507a387f019bcb1a0,2350.0,medium
100052,1.0,2,,40.7305,-73.983,0411b25b134141100d8214ed6ec02f56,3650.0,low
100053,1.0,1,0,40.8643,-73.928,ab15d581a04ed87b6f25d5aff8ddde30,1695.0,low
100055,1.0,4,cc4c6ae9225df6d2395c4e16c235f7ab,40.7999,-73.9638,8f5a9c893f6d602f4953fcc0b8e6e9b4,5000.0,low
100058,1.0,1,dc3cae15729b48fec3394f9295671991,40.7328,-73.9799,8f5a9c893f6d602f4953fcc0b8e6e9b4,3973.0,low
100062,1.0,3,205f95d4a78f1f3befda48b89edc9669,40.7454,-73.9845,3793e58c60343a3fd6846ca2d2ef3c7f,4395.0,low
100063,1.0,2,ecea86b79afa539505aa4bad3ff449c6,40.7427,-73.9794,e6472c7237327dd3903b3d6f6a94515a,2999.0,medium
100065,1.0,1,1a6cf9b71da65cdc0cfd5015a75317ac,40.7447,-73.9741,8f5a9c893f6d602f4953fcc0b8e6e9b4,2595.0,low
100066,1.0,1,a6200d7448037cfee809b2451219f879,40.7074,-74.0081,6e5c10246156ae5bdcd9b487ca99d96a,3695.0,low
10007,2.0,4,05b871a1e1e0368391160bcefc608e00,40.7391,-73.9936,0cff4a2a147d81e51ae8a91289e129f7,7400.0,medium
100071,3.5,4,45b4143a9841eb63d7203c4f21a64ff7,40.7584,-73.9653,ad3d8ddc52c7e0859b5c6c7f7949c3bd,7500.0,low
100075,1.0,1,d68497ff1f5ac77f143e5f21817ed6fb,40.7728,-73.9502,4f9b376a972b863bbfbdcdc8d717fa4e,2295.0,medium
100076,1.0,1,ec447453d3b8033e14a7b54ba1e13e02,40.7709,-73.9917,63e8c482071c22f43dd91b954e75cc2c,3164.0,low
100079,1.0,1,f06ad2f6f1a821c8efc03dc195d369df,40.8335,-73.9141,12c0a30e296faa0dfd422fe918d7d4f4,1350.0,high
100081,2.0,2,f115a9bff3a9c4e6eedc9114374b3d74,40.7716,-73.9506,797f306f24780e1a24e4f063d46a2d8d,5600.0,low
100083,1.0,0,10901f921370e636cef42c4bbed02483,40.7897,-73.976,92ff104c90a9c40d153ea970e19c27c1,2750.0,medium
