max_depth,learn_rate,accuracy
1,0.001,89
1,0.021387755102040815,78
1,0.041775510204081635,59
1,0.06216326530612245,69
1,0.08255102040816327,68
1,0.10293877551020407,62
1,0.12332653061224493,85
1,0.1437142857142857,73
1,0.16410204081632654,52
1,0.18448979591836734,82
1,0.20487755102040814,37
1,0.22526530612244897,56
1,0.24565306122448985,68
1,0.26604081632653065,47
1,0.2864285714285714,57
1,0.30681632653061225,60
1,0.3272040816326531,62
1,0.3475918367346939,77
1,0.3679795918367347,63
1,0.3883673469387755,51
1,0.4087551020408163,50
1,0.4291428571428572,38
1,0.44953061224489793,72
1,0.4699183673469388,42
1,0.4903061224489797,56
1,0.5106938775510205,44
1,0.5310816326530613,74
1,0.551469387755102,53
1,0.5718571428571428,39
1,0.5922448979591837,60
1,0.6126326530612245,49
1,0.6330204081632653,44
1,0.6534081632653062,61
1,0.673795918367347,37
1,0.6941836734693878,55
1,0.7145714285714286,63
1,0.7349591836734695,42
1,0.7553469387755103,43
1,0.775734693877551,70
1,0.7961224489795918,49
1,0.8165102040816327,52
1,0.8368979591836735,71
1,0.8572857142857143,75
1,0.8776734693877551,39
1,0.8980612244897959,37
1,0.9184489795918368,41
1,0.9388367346938776,77
1,0.9592244897959183,39
1,0.9796122448979592,64
1,1.0,53
2,0.001,76
2,0.021387755102040815,82
2,0.041775510204081635,88
2,0.06216326530612245,83
2,0.08255102040816327,73
2,0.10293877551020407,91
2,0.12332653061224493,67
2,0.1437142857142857,69
2,0.16410204081632654,72
2,0.18448979591836734,75
2,0.20487755102040814,76
2,0.22526530612244897,64
2,0.24565306122448985,50
2,0.26604081632653065,36
2,0.2864285714285714,60
2,0.30681632653061225,42
2,0.3272040816326531,44
2,0.3475918367346939,59
2,0.3679795918367347,36
2,0.3883673469387755,43
2,0.4087551020408163,59
2,0.4291428571428572,46
2,0.44953061224489793,52
2,0.4699183673469388,43
2,0.4903061224489797,70
2,0.5106938775510205,70
2,0.5310816326530613,68
2,0.551469387755102,40
2,0.5718571428571428,77
2,0.5922448979591837,74
2,0.6126326530612245,76
2,0.6330204081632653,63
2,0.6534081632653062,42
2,0.673795918367347,44
2,0.6941836734693878,43
2,0.7145714285714286,47
2,0.7349591836734695,69
2,0.7553469387755103,68
2,0.775734693877551,58
2,0.7961224489795918,59
2,0.8165102040816327,72
2,0.8368979591836735,70
2,0.8572857142857143,75
2,0.8776734693877551,57
2,0.8980612244897959,62
2,0.9184489795918368,70
2,0.9388367346938776,36
2,0.9592244897959183,70
2,0.9796122448979592,72
2,1.0,49
3,0.001,50
3,0.021387755102040815,53
3,0.041775510204081635,63
3,0.06216326530612245,57
3,0.08255102040816327,92
3,0.10293877551020407,62
