volumes,masses
2.0,7.812434536366324
2.1,7.698824358634993
2.2,7.8171828247736554
2.3,7.8727031377843835
2.4,8.176540762932468
2.5,7.969846130311971
2.6,8.484481176421648
2.7,8.343879309910491
2.8,8.56190390960571
2.9,8.61506296245226
3.0,8.896210793704498
3.1,8.653985929050236
3.2,8.93775827959865
3.3,9.041594564533158
3.4000000000000004,9.303376944233545
3.5,9.190010873268598
3.6,9.392757179244956
3.7,9.432214158207863
3.8,9.634221374671558
3.9000000000000004,9.798281521371583
4.0,9.739938082278709
4.1,10.074472370983962
4.2,10.16015907205928
4.300000000000001,10.230249433890188
4.4,10.380085594926442
4.5,10.331627214082568
4.6,10.497710977448135
4.7,10.526423056574094
4.800000000000001,10.703211192037399
4.9,10.893035546673818
5.0,10.880833924827469
5.1,11.020324647314403
5.2,11.101282729988041
5.300000000000001,11.19547943585013
5.4,11.32287538691632
5.5,11.498733540108109
5.6,11.498268965136472
5.7,11.74344156978171
5.800000000000001,11.995980217710988
5.9,12.014204416057735
6.0,12.03081644476384
6.1000000000000005,12.071237103591516
6.2,12.195284170624918
6.3,12.549245460102776
6.4,12.495080775477605
6.5,12.536300435343065
6.6000000000000005,12.729091548466748
6.7,13.030025513647885
6.800000000000001,12.942015895248165
6.9,13.101720310970743
7.0,13.180017031995584
7.1000000000000005,13.22477501535065
7.2,13.255748180197786
7.300000000000001,13.445065727758713
7.4,13.569110576662522
7.5,13.75866231911822
7.6000000000000005,13.893898341387453
7.7,14.013110208130357
7.800000000000001,14.058558732525427
7.9,14.228514116427073
8.0,14.174560205900335
8.100000000000001,14.485286815523331
8.2,14.5212929820418
8.3,14.55019071648973
8.4,14.738851814653751
8.5,14.792442828697896
8.600000000000001,15.023162938745147
8.7,15.171981681642219
8.8,15.348557540653319
8.9,15.100350366451188
9.0,15.205588619457043
9.100000000000001,15.409553413705355
9.2,15.586003706944783
9.3,15.767616892111626
9.4,15.821563494724163
9.5,15.697779878417602
9.600000000000001,15.979379598737165
9.7,16.202797464260726
9.8,16.253009473536437
9.9,16.416201118031204
10.0,16.427767185738965
10.1,16.539924193107
10.200000000000001,16.68865613909883
10.3,16.821005164720827
10.4,16.909829972012677
10.5,17.011900864580745
10.6,17.042933771371096
10.700000000000001,17.257756378632095
10.8,17.342182127099147
10.9,17.552948390791194
11.0,17.669891787990153
11.1,17.678515641748394
11.200000000000001,17.732471504990993
11.3,17.81612695925458
11.4,18.032349435406413
11.5,18.107734006834857
11.600000000000001,18.175614632442898
11.700000000000001,18.32435968568343
11.8,18.36799991560519
11.9,18.609803203407225
12.0,18.6052871435214
