time,distance
0.0,0.13200726818379974
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.46814950645789716
0.05,0.0
0.06,0.24079754458835892
0.07,0.29859395269610234
0.08,0.34472237653067583
0.09,0.4148293605662493
0.1,0.21365292532246472
0.11,0.0
0.12,0.19648647331282623
0.13,0.08120946375045007
0.14,0.47181156951888104
0.15,0.5324299061506482
0.16,0.36836906905281896
0.17,0.6355772763104071
0.18,0.5012649546178813
0.19,0.5807012234648521
0.2,0.5905216262010535
0.21,0.7201159098504062
0.22,0.4292616827446074
0.23,0.4762143881621754
0.24,1.043908187188824
0.25,0.8173580851246416
0.26,0.7761160555062308
0.27,0.7442680962404971
0.28,0.20059962497455897
0.29,0.295442568246321
0.3,0.5275407113754333
0.31,0.3142700304790461
0.32,1.041699130985138
0.33,1.0145587422677267
0.34,1.0198106684051196
0.35000000000000003,1.0431378669325237
0.36,1.1465601615674164
0.37,0.9676484224395447
0.38,1.3275184222710017
0.39,0.9059990313150086
0.4,0.6205758733971536
0.41000000000000003,0.8908184800815595
0.42,1.1287860838538841
0.43,1.3547729158701367
0.44,1.143775654631452
0.45,1.265933285310141
0.46,1.5535453740645706
0.47000000000000003,0.7980764345418765
0.48,1.196357088006664
0.49,0.8391731572414135
0.5,1.5824829526857196
0.51,1.0693760265260819
0.52,0.7069333854815386
0.53,1.0483671212501537
0.54,1.5162589202068608
0.55,0.9414127588336869
0.56,0.9623931077229337
0.5700000000000001,1.0527065729630802
0.58,1.278003534388297
0.59,0.4115675276079167
0.6,1.1453119311977367
0.61,1.4204798367848728
0.62,1.3214438365079328
0.63,1.203217287858782
0.64,1.552644113365787
0.65,0.9195379375008009
0.66,1.1175795970763938
0.67,0.8083105479213026
0.68,0.7282396144084282
0.6900000000000001,1.681296069075378
0.7000000000000001,1.0642130827202538
0.71,1.0457823048351995
0.72,1.9082690518811816
0.73,1.9240235750501113
0.74,1.2052067193035707
0.75,0.9742519218663702
0.76,1.580744366713706
0.77,2.066029559226103
0.78,2.28950243804116
0.79,2.1747603705160223
0.8,2.379496458595313
0.81,2.0399908362865973
0.8200000000000001,1.461926106560834
0.8300000000000001,1.7874173678309102
0.84,2.525492665065931
0.85,2.1027831021606516
0.86,2.1185335236978
0.87,1.1786614841306595
0.88,1.8936663147748507
0.89,1.9933311727875318
0.9,1.8713233326355962
0.91,2.614560927540169
0.92,2.914926872073268
0.93,1.900019665919535
0.9400000000000001,2.699384440493067
0.9500000000000001,1.4940169950010862
0.96,1.959204307737915
0.97,1.7743378134101835
0.98,1.4898913998562482
0.99,1.7209424606248318
1.0,2.5789463702032975
1.01,1.9567169816591232
1.02,1.406875990061149
1.03,1.395254903667453
1.04,1.6860742319990636
1.05,2.0256376467287636
1.06,2.1834665915398945
1.07,2.3896583093732544
1.08,1.3049755536862526
1.09,2.1659949682150685
1.1,1.672217233278087
1.11,1.7282526359591073
1.12,3.2958662209491445
1.1300000000000001,2.3710374480854224
1.1400000000000001,2.8654043731376735
1.1500000000000001,2.1633294813636845
1.16,3.152860830040386
1.17,2.137887659867484
1.18,2.3428225795576645
1.19,1.6221618468037826
1.2,1.212579669371028
1.21,3.268683892333744
1.22,2.3382700156826526
1.23,2.1377369024169277
1.24,1.831610296598025
1.25,3.520002262114262
1.26,3.04090738899232
1.27,2.4410564365572878
