,masses,volumes
0,7.812434536366324,2.0
1,7.698824358634993,2.1
2,7.8171828247736554,2.2
3,7.8727031377843835,2.3
4,8.176540762932468,2.4
5,7.969846130311971,2.5
6,8.484481176421648,2.6
7,8.343879309910491,2.7
8,8.56190390960571,2.8
9,8.61506296245226,2.9
10,8.896210793704498,3.0
11,8.653985929050236,3.1
12,8.93775827959865,3.2
13,9.041594564533158,3.3
14,9.303376944233545,3.4000000000000004
15,9.190010873268598,3.5
16,9.392757179244956,3.6
17,9.432214158207863,3.7
18,9.634221374671558,3.8
19,9.798281521371583,3.9000000000000004
20,9.739938082278709,4.0
21,10.074472370983962,4.1
22,10.16015907205928,4.2
23,10.230249433890188,4.300000000000001
24,10.380085594926442,4.4
25,10.331627214082568,4.5
26,10.497710977448135,4.6
27,10.526423056574094,4.7
28,10.703211192037399,4.800000000000001
29,10.893035546673818,4.9
30,10.880833924827469,5.0
31,11.020324647314403,5.1
32,11.101282729988041,5.2
33,11.19547943585013,5.300000000000001
34,11.32287538691632,5.4
35,11.498733540108109,5.5
36,11.498268965136472,5.6
37,11.74344156978171,5.7
38,11.995980217710988,5.800000000000001
39,12.014204416057735,5.9
40,12.03081644476384,6.0
41,12.071237103591516,6.1000000000000005
42,12.195284170624918,6.2
43,12.549245460102776,6.3
44,12.495080775477605,6.4
45,12.536300435343065,6.5
46,12.729091548466748,6.6000000000000005
47,13.030025513647885,6.7
48,12.942015895248165,6.800000000000001
49,13.101720310970743,6.9
50,13.180017031995584,7.0
51,13.22477501535065,7.1000000000000005
52,13.255748180197786,7.2
53,13.445065727758713,7.300000000000001
54,13.569110576662522,7.4
55,13.75866231911822,7.5
56,13.893898341387453,7.6000000000000005
57,14.013110208130357,7.7
58,14.058558732525427,7.800000000000001
59,14.228514116427073,7.9
60,14.174560205900335,8.0
61,14.485286815523331,8.100000000000001
62,14.5212929820418,8.2
63,14.55019071648973,8.3
64,14.738851814653751,8.4
65,14.792442828697896,8.5
66,15.023162938745147,8.600000000000001
67,15.171981681642219,8.7
68,15.348557540653319,8.8
69,15.100350366451188,8.9
70,15.205588619457043,9.0
71,15.409553413705355,9.100000000000001
72,15.586003706944783,9.2
73,15.767616892111626,9.3
74,15.821563494724163,9.4
75,15.697779878417602,9.5
76,15.979379598737165,9.600000000000001
77,16.202797464260726,9.7
78,16.253009473536437,9.8
79,16.416201118031204,9.9
80,16.427767185738965,10.0
81,16.539924193107,10.1
82,16.68865613909883,10.200000000000001
83,16.821005164720827,10.3
84,16.909829972012677,10.4
85,17.011900864580745,10.5
86,17.042933771371096,10.6
87,17.257756378632095,10.700000000000001
88,17.342182127099147,10.8
89,17.552948390791194,10.9
90,17.669891787990153,11.0
91,17.678515641748394,11.1
92,17.732471504990993,11.200000000000001
93,17.81612695925458,11.3
94,18.032349435406413,11.4
95,18.107734006834857,11.5
96,18.175614632442898,11.600000000000001
97,18.32435968568343,11.700000000000001
98,18.36799991560519,11.8
99,18.609803203407225,11.9
100,18.6052871435214,12.0
