date,city_population
1969-09-30,1.0
1970-03-31,0.9602850939769136
1970-09-30,0.9571667849593926
1971-03-31,0.946927988738166
1971-09-30,0.9877409317977022
1972-03-31,0.9732015631279428
1972-09-30,1.0230108497507344
1973-03-31,0.9963900623086522
1973-09-30,1.013680236136639
1974-03-31,1.0085281773477226
1974-09-30,1.03946326939634
1975-03-31,0.9871848282165128
1975-09-30,1.0203922660390892
1976-03-31,1.0299685677332364
1976-09-30,1.047580326099237
1977-03-31,1.070889417361432
1977-09-30,1.1007746120584458
1978-03-31,1.0720478260511144
1978-09-30,1.0563940071572848
1979-03-31,1.0751611870403996
1979-09-30,1.1064780828479466
1980-03-31,1.0988377923066721
1980-09-30,1.136945747293949
1981-03-31,1.0841774796233346
1981-09-30,1.1564985280788178
1982-03-31,1.1510550642534272
1982-09-30,1.1483951533420242
1983-03-31,1.185148231258958
1983-09-30,1.2181334617317432
1984-03-31,1.1794646347355342
1984-09-30,1.1976859434636962
1985-03-31,1.1950629598700362
1985-09-30,1.2072296605727737
1986-03-31,1.2350045585076357
1986-09-30,1.2697825813443782
1987-03-31,1.27078762049475
1987-09-30,1.2777070472131289
1988-03-31,1.3084936180750049
1988-09-30,1.3358010672621852
1989-03-31,1.354077893884772
1989-09-30,1.3262729301214082
1990-03-31,1.364932993005774
1990-09-30,1.3862386103107658
1991-03-31,1.4130674286055116
1991-09-30,1.3910373653165735
1992-03-31,1.4358644210356395
1992-09-30,1.4226269445019368
1993-03-31,1.4455952942543917
1993-09-30,1.4341915309796214
1994-03-31,1.4649748153934676
1994-09-30,1.4716456556174249
1995-03-31,1.5131658562974382
1995-09-30,1.5006079322818426
1996-03-31,1.58040051400507
1996-09-30,1.576444005200072
1997-03-31,1.544063361172752
1997-09-30,1.57037474054556
1998-03-31,1.6218797146087618
1998-09-30,1.6233178315564696
1999-03-31,1.647758454518224
1999-09-30,1.653114335316591
2000-03-31,1.6623857762561205
2000-09-30,1.7100562201455438
2001-03-31,1.7115683808592754
2001-09-30,1.7287272553647055
2002-03-31,1.7648366699298896
2002-09-30,1.7725488010112511
2003-03-31,1.80527212117056
2003-09-30,1.8263335367976303
2004-03-31,1.8638181476657
2004-09-30,1.9081975720237807
2005-03-31,1.8808768558386053
2005-09-30,1.9160429533524503
2006-03-31,1.9442671382052836
2006-09-30,1.895477040525527
2007-03-31,1.9887442484257305
2007-09-30,1.982908371738446
2008-03-31,2.032156357897005
2008-09-30,2.0230469558569504
2009-03-31,2.0338624751521284
2009-09-30,2.1023153229943747
2010-03-31,2.130295841479632
2010-09-30,2.1006296918184284
2011-03-31,2.139384604484385
2011-09-30,2.157854813786065
2012-03-31,2.187863362453468
2012-09-30,2.1844998386209555
2013-03-31,2.231451430119331
2013-09-30,2.2383596800092285
2014-03-31,2.2945310645116304
2014-09-30,2.3177553294828344
2015-03-31,2.308790137668028
2015-09-30,2.3735964520291617
2016-03-31,2.387101755627404
2016-09-30,2.4168029630760826
2017-03-31,2.4413866747638315
2017-09-30,2.4752568878582624
2018-03-31,2.550677103631745
2018-09-30,2.5243869373754753
2019-03-31,2.557577387804204
