,Unnamed: 0,fheight,sheight
0,1,65.04851,59.77826999999999
1,2,63.25094,63.214040000000004
2,3,64.95532,63.34242
3,4,65.7525,62.79238
4,5,61.13723,64.28113
5,6,63.02254,64.24221
6,7,65.37053,64.08230999999999
7,8,64.72398000000001,63.995740000000005
8,9,66.06509,64.61338
9,10,66.96738,63.979440000000004
10,11,59.008,65.24450999999999
11,12,62.932030000000005,65.35101999999999
12,13,63.67063,65.67992
13,14,64.07386,65.43664
14,15,64.68851,65.29391
15,16,65.15465999999999,64.79016999999999
16,17,66.37353,65.01881
17,18,65.57704,65.5464
18,19,67.36765,65.08145
19,20,66.75929000000001,65.49008
20,21,67.79764,65.1352
21,22,69.5348,65.51262
22,23,62.54014,66.58436
23,24,63.810159999999996,66.37841999999999
24,25,64.4565,66.14782
25,26,64.9665,65.97259
26,27,64.70662,65.95886999999999
27,28,65.73829,66.45201999999999
28,29,65.50140999999999,65.74797
29,30,65.55416,65.97164000000001
30,31,66.90294,65.90548000000001
31,32,66.57388,65.90773
32,33,66.53198,66.47103
33,34,67.90613,65.75023
34,35,68.29198000000001,66.34666
35,36,67.74123,66.08577
36,37,68.46916999999999,66.28036999999999
37,38,69.38327,66.34354
38,39,71.81791,66.41711
39,40,62.41615,67.22558000000001
40,41,64.49083,67.46394000000001
41,42,64.4876,66.99361999999999
42,43,63.923030000000004,66.76647
43,44,65.44592,67.0342
44,45,65.02977,66.84316
45,46,65.67038000000001,69.2989
46,47,68.66078,69.09114
47,48,66.54597,61.66358
48,49,64.85954,65.7288
49,50,69.60692,68.98012
50,51,64.8135,67.37397
51,52,65.32703000000001,67.17459000000001
52,53,65.83169000000001,67.06711999999999
53,54,65.83426999999999,67.29446
54,55,65.56135,67.62665
55,56,65.8688,67.47923
56,57,65.77339,66.92161999999999
57,58,67.09116,67.58324
58,59,66.61374,67.21191
59,60,67.41075,66.81629000000001
60,61,67.27716,67.24268000000001
61,62,66.61134,67.51035999999999
62,63,68.17412,67.57026
63,64,67.80555,67.17258000000001
64,65,68.32529,67.54129
65,66,68.07786999999999,67.37113000000001
66,67,68.96795,67.59714
67,68,68.9255,67.25104
68,69,69.60862,66.82533000000001
69,70,70.35646,66.72679000000001
70,71,70.00643000000001,66.92996
